"match_id","gold_diff","xp_diff","cs_diff","kills_diff","gold_diff_top","xp_diff_top","cs_diff_top","gold_diff_jungle","xp_diff_jungle","cs_diff_jungle","gold_diff_mid","xp_diff_mid","cs_diff_mid","gold_diff_adc","xp_diff_adc","cs_diff_adc","gold_diff_support","xp_diff_support","cs_diff_support","blue_dragons","red_dragons","blue_voidgrubs","red_voidgrubs","first_blood","blue_avg_champion_wr","red_avg_champion_wr","synergy_diff","blue_has_duo","red_has_duo","blue_duo_impact","red_duo_impact","duo_impact_diff","blue_wins","resultado"
"BR1_3224696810",2,62,-39,1,797,891,0,67,-567,-19,52,787,5,-657,-650,-18,-257,-399,-7,1,0,3,0,0,0.523076256190652,0.477541205001573,0.0455350511890787,1,1,-0.0128205128205128,-0.553062248995984,0.540241736175471,1,"Azul vence"
"BR1_3224703541",4890,2885,33,10,647,408,-4,594,890,14,-86,431,6,2278,1028,21,1457,128,-4,0,0,3,0,1,0.488356893151059,0.492467939084538,-0.00411104593347889,1,0,-0.0348490273302304,0,-0.0348490273302304,1,"Azul vence"
"BR1_3224721156",-147,430,5,-1,783,941,28,79,1563,33,1231,328,26,-1619,-1872,-81,-621,-530,-1,0,1,3,0,1,0.4590589569161,0.509521018611297,-0.0504620616951977,1,1,-0.339503983411546,0.191052853840683,-0.530556837252229,0,"Vermelho vence"
"BR1_3224723279",1595,1037,10,2,1799,1434,41,157,490,-1,862,46,-27,-645,65,-6,-578,-998,3,0,0,3,0,1,0.486570681760435,0.509377848523672,-0.0228071667632374,1,1,-0.340285468192445,0.302443554867234,-0.642729023059679,0,"Vermelho vence"
"BR1_3224753063",-407,862,67,-3,353,311,14,558,1490,47,199,-44,16,-577,-157,-12,-940,-738,2,1,0,3,0,1,0.490774388082585,0.534065503555068,-0.0432911154724827,1,1,-0.191204923562582,0.0507768478240919,-0.241981771386674,0,"Vermelho vence"
"BR1_3224770685",-958,-749,-42,2,631,825,2,117,610,10,-1279,-1473,-31,-392,-336,-22,-35,-375,-1,0,1,3,0,1,0.491346089074552,0.506906096343809,-0.0155600072692572,1,1,-0.0540540540540541,-0.089572192513369,0.035518138459315,0,"Vermelho vence"
"BR1_3224771676",3146,2218,38,7,1306,1232,24,1799,295,-8,653,228,12,-89,246,10,-523,217,0,0,1,3,0,1,0.465430030445062,0.516362524758035,-0.0509324943129724,1,1,-0.0781013257575757,0.0487827940142106,-0.126884119771786,0,"Vermelho vence"
"BR1_3224805573",1059,-247,47,0,-323,-418,21,1216,982,20,604,-420,-3,-675,-617,8,237,226,1,0,0,0,1,0,0.461410389537069,0.474232360199155,-0.0128219706620861,0,1,0,-0.0246212121212122,0.0246212121212122,1,"Azul vence"
"BR1_3225020947",-1598,-1551,-17,-3,-1087,-595,1,469,-344,-9,-1693,-228,-16,1485,-237,2,-772,-147,5,0,1,3,0,1,0.525453719636447,0.475102613899593,0.0503511057368545,1,1,-0.290445269016698,0.006516290726817,-0.296961559743515,0,"Vermelho vence"
"BR1_3225038257",63,871,38,0,121,602,25,230,1056,36,-892,-241,-23,311,-337,-2,293,-209,2,1,0,3,0,0,0.502795661677338,0.523630679305057,-0.0208350176277193,1,1,0.31223165119066,-0.131708981708982,0.443940632899642,1,"Azul vence"
"BR1_3225045647",-978,-815,-15,-3,-53,-546,-2,845,-27,10,80,-179,-8,-942,-542,-17,-908,479,2,0,1,2,1,0,0.506903148369846,0.507238650219229,-0.000335501849383246,1,1,-0.275375604787369,0.227813768350062,-0.503189373137431,0,"Vermelho vence"
"BR1_3225064213",-293,169,-37,-1,-97,27,-5,-405,375,-4,92,-38,-9,-503,-338,-18,620,143,-1,0,1,1,2,0,0.507020821894908,0.508382639185486,-0.00136181729057794,0,0,0,0,0,0,"Vermelho vence"
"BR1_3225066898",291,8,-24,1,-171,-135,-17,-492,-337,-7,1309,348,2,-322,213,1,-33,-81,-3,0,1,0,3,0,0.524856738340437,0.535564042465028,-0.0107073041245906,1,1,-0.0830685096339263,0.324274581627523,-0.407343091261449,0,"Vermelho vence"
"BR1_3225095087",2006,-352,-44,7,-308,-547,-8,287,-357,-18,-310,-791,-28,1115,265,17,1222,1078,-7,0,1,0,3,1,0.504830279135306,0.516896019013666,-0.0120657398783597,1,1,-0.136378947313795,0.0697301177524301,-0.206109065066225,0,"Vermelho vence"
"BR1_3225108565",336,913,3,3,59,-376,4,-1239,580,10,956,183,-5,219,451,9,341,75,-15,1,0,3,0,0,0.464980884507558,0.518316818382899,-0.0533359338753409,1,1,-0.0578542289864446,0.0697301177524301,-0.127584346738875,1,"Azul vence"
"BR1_3225119330",-1613,-306,20,-4,-589,-386,-16,210,845,23,-31,283,4,-732,-727,7,-471,-321,2,0,0,3,0,0,0.409539858382023,0.508088132582734,-0.0985482742007114,0,1,0,0.160067123570059,-0.160067123570059,0,"Vermelho vence"
"BR1_3225151459",-2851,-2458,-17,-6,321,227,28,-205,-1247,-15,-2211,-873,4,-1344,-395,-30,588,-170,-4,0,1,0,3,1,0.523161743482927,0.50927844481737,0.0138832986655575,1,1,-0.11405684754522,0.157646041697766,-0.271702889242985,0,"Vermelho vence"
"BR1_3225155186",-14,536,26,-1,-204,-148,9,-651,380,17,262,230,12,209,-372,-5,370,446,-7,1,0,0,2,0,0.463263964818848,0.530552873298301,-0.0672889084794536,1,1,0.00397305863454587,0.0710379585624204,-0.0670648999278745,0,"Vermelho vence"
"BR1_3225173685",-122,-1028,-67,3,99,393,-13,687,-531,-16,-1407,-1057,-32,168,384,-6,331,-217,0,0,1,0,3,1,0.475132663718682,0.510059905737969,-0.0349272420192863,1,1,-0.0559829386299975,0.287766830870279,-0.343749769500277,0,"Vermelho vence"
"BR1_3225181523",3280,1803,56,2,1172,1138,14,492,1090,17,188,-967,2,1265,661,36,163,-119,-13,1,0,0,3,1,0.487030344743943,0.516320944342129,-0.0292905995981853,0,1,0,-0.0813825530212085,0.0813825530212085,1,"Azul vence"
"BR1_3225199164",3472,587,-4,9,-259,-89,-11,1059,-560,-13,1258,722,13,1844,479,10,-430,35,-3,1,0,2,1,0,0.536134941491332,0.513443660354539,0.0226912811367932,1,1,0.150708845366103,-0.0917668841260033,0.242475729492107,1,"Azul vence"
"BR1_3225219995",-2841,-1327,-20,-7,769,431,32,-1496,-783,-11,-433,-777,-26,-1532,-1004,-31,-149,806,16,0,0,3,0,0,0.497532578012995,0.504385841765976,-0.00685326375298112,1,1,0.188566662769588,-0.223359732918556,0.411926395688145,1,"Azul vence"
"BR1_3225336900",283,-1728,-1,-4,790,-34,26,1736,-610,-9,-638,-705,-10,-1157,-644,-7,-448,265,-1,1,0,0,3,0,0.503432262769666,0.550203812440001,-0.0467715496703344,1,0,-0.244039938556068,0,-0.244039938556068,0,"Vermelho vence"
"BR1_3225350196",-2692,-2489,-13,-4,-548,-317,-13,-1651,-398,-1,106,-851,9,-876,-603,-8,277,-320,0,0,1,0,3,1,0.499258727072365,0.54985256403591,-0.0505938369635455,1,0,-0.525714285714286,0,-0.525714285714286,0,"Vermelho vence"
"BR1_3225527800",7,-486,-21,0,248,74,-8,523,-191,-7,997,660,11,-1981,-603,-21,220,-426,4,0,1,3,0,0,0.455508808984661,0.51856966614969,-0.0630608571650295,0,0,0,0,0,0,"Vermelho vence"
"BR1_3225533733",-1583,-1028,30,-7,-775,-1155,-4,-1413,333,14,1419,538,13,-513,-268,3,-301,-476,4,0,0,0,0,0,0.500729046154404,0.510516344239062,-0.00978729808465872,1,1,-0.250190518143274,0.382066360135786,-0.63225687827906,0,"Vermelho vence"
